date,q2_plan_cost,q2_emergency_cost,q2_total_cost,q3_s0_total_cost,q3_s1_total_cost,actual_net_energy_kwh,saving_vs_q3_s0_yuan,saving_vs_q2_yuan,season,extreme_net_demand_day
2025-05-02,13701.884781662684,9150.39500607793,22852.27978774061,23024.65213320273,21491.96513991141,14290.320083333332,1532.6869932913214,1360.3146478292,春季,False
2025-05-03,13514.083895430256,7273.892943868241,20787.9768392985,21609.600948120897,19804.608956576496,8867.17165,1804.9919915444007,983.3678827220028,春季,False
2025-05-04,36924.04961792006,106.31130139536666,37030.36091931543,40456.32499244147,39571.94387922241,51734.66733333333,884.3811132190604,-2541.5829599069766,春季,False
2025-05-05,39083.84240439114,2.348805594465375e-13,39083.84240439114,38938.80741089248,38084.539629248895,55076.0068,854.2677816435826,999.3027751422414,春季,False
2025-05-06,33872.49892950745,11165.41154479156,45037.91047429901,47668.93460132988,39705.85706917781,52870.08236666666,7963.0775321520705,5332.053405121202,春季,False
2025-05-07,37151.93350133042,4249.481804099229,41401.41530542965,45374.13066723982,39297.25143853073,55067.84595,6076.879228709091,2104.163866898918,春季,False
2025-05-08,40086.22897341885,89.91578352083502,40176.14475693968,39158.06844405944,39508.23768380793,55826.5124,-350.1692397484876,667.9070731317479,春季,False
2025-05-09,14139.501104517663,556.7240218547017,14696.225126372365,20633.33001251588,15592.513903218844,8499.38585,5040.816109297035,-896.2887768464789,春季,False
2025-05-10,14881.1758726819,8.046239230452557e-13,14881.1758726819,18485.57926891149,15427.414889129946,12121.045283333331,3058.164379781543,-546.2390164480457,春季,False
2025-05-11,38972.043203125744,100.04947791666834,39072.09268104241,39556.527394037534,38882.66071632266,55484.07908333333,673.8666777148756,189.43196471975534,春季,False
2025-05-12,34610.27802388609,565.6663579018962,35175.94438178798,44197.92787985477,37660.57772885411,51931.195233333325,6537.350151000661,-2484.6333470661266,春季,False
2025-05-13,40046.13370083567,1.4006840132196885e-13,40046.13370083567,38888.25324181605,39094.13744321894,53129.21276666666,-205.88420140289236,951.9962576167309,春季,False
